name	version	require-dev
asm89/stack-cors	v2.0.3	phpunit/phpunit	^6|^7|^8|^9
asm89/stack-cors	v2.0.3	squizlabs/php_codesniffer	^3.5
brick/math	0.9.3	php-coveralls/php-coveralls	^2.2
brick/math	0.9.3	phpunit/phpunit	^7.5.15 || ^8.5 || ^9.0
brick/math	0.9.3	vimeo/psalm	4.9.2
dflydev/dot-access-data	v3.0.1	phpstan/phpstan	^0.12.42
dflydev/dot-access-data	v3.0.1	phpunit/phpunit	^7.5 || ^8.5 || ^9.3
dflydev/dot-access-data	v3.0.1	scrutinizer/ocular	1.6.0
dflydev/dot-access-data	v3.0.1	squizlabs/php_codesniffer	^3.5
dflydev/dot-access-data	v3.0.1	vimeo/psalm	^3.14
doctrine/inflector	2.0.4	doctrine/coding-standard	^8.2
doctrine/inflector	2.0.4	phpstan/phpstan	^0.12
doctrine/inflector	2.0.4	phpstan/phpstan-phpunit	^0.12
doctrine/inflector	2.0.4	phpstan/phpstan-strict-rules	^0.12
doctrine/inflector	2.0.4	phpunit/phpunit	^7.0 || ^8.0 || ^9.0
doctrine/inflector	2.0.4	vimeo/psalm	^4.10
doctrine/lexer	1.2.1	doctrine/coding-standard	^6.0
doctrine/lexer	1.2.1	phpstan/phpstan	^0.11.8
doctrine/lexer	1.2.1	phpunit/phpunit	^8.2
dragonmantank/cron-expression	v3.1.0	phpstan/extension-installer	^1.0
dragonmantank/cron-expression	v3.1.0	phpstan/phpstan	^0.12
dragonmantank/cron-expression	v3.1.0	phpstan/phpstan-webmozart-assert	^0.12.7
dragonmantank/cron-expression	v3.1.0	phpunit/phpunit	^7.0|^8.0|^9.0
egulias/email-validator	2.1.25	dominicsayers/isemail	^3.0.7
egulias/email-validator	2.1.25	phpunit/phpunit	^4.8.36|^7.5.15
egulias/email-validator	2.1.25	satooshi/php-coveralls	^1.0.1
fruitcake/laravel-cors	v2.0.4	laravel/framework	^6|^7|^8
fruitcake/laravel-cors	v2.0.4	orchestra/testbench-dusk	^4|^5|^6|^7
fruitcake/laravel-cors	v2.0.4	phpunit/phpunit	^6|^7|^8|^9
fruitcake/laravel-cors	v2.0.4	squizlabs/php_codesniffer	^3.5
graham-campbell/result-type	v1.0.4	phpunit/phpunit	^6.5.14 || ^7.5.20 || ^8.5.19 || ^9.5.8
guzzlehttp/guzzle	7.4.1	bamarni/composer-bin-plugin	^1.4.1
guzzlehttp/guzzle	7.4.1	ext-curl	*
guzzlehttp/guzzle	7.4.1	php-http/client-integration-tests	^3.0
guzzlehttp/guzzle	7.4.1	phpunit/phpunit	^8.5.5 || ^9.3.5
guzzlehttp/guzzle	7.4.1	psr/log	^1.1 || ^2.0 || ^3.0
guzzlehttp/promises	1.5.1	symfony/phpunit-bridge	^4.4 || ^5.1
guzzlehttp/psr7	2.1.0	bamarni/composer-bin-plugin	^1.4.1
guzzlehttp/psr7	2.1.0	http-interop/http-factory-tests	^0.9
guzzlehttp/psr7	2.1.0	phpunit/phpunit	^8.5.8 || ^9.3.10
laravel/framework	v8.76.2	aws/aws-sdk-php	^3.198.1
laravel/framework	v8.76.2	doctrine/dbal	^2.13.3|^3.1.4
laravel/framework	v8.76.2	filp/whoops	^2.14.3
